,artist_name,end_time,ms_played,track_name,track_id
79,Roddy Ricch,2022-05-06 10:43,220486,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm
80,Drake,2022-05-06 10:48,261492,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI
81,Lil Mosey,2022-05-06 10:49,43222,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh
82,J. Cole,2022-05-06 10:53,241160,Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy
83,Kanye West,2022-05-06 10:57,194782,Homecoming,4iz9lGMjU1lXS51oPmUmTe
84,J. Cole,2022-05-06 11:02,304640,t h e . c l i m b . b a c k,5lLNBIyjp72btcnrjBG751
85,J. Cole,2022-05-06 11:06,279143,a m a r i,2cnKST6T9qUo2i907lm8zX
86,Juice WRLD,2022-05-06 11:09,165819,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1
87,"Tyler, The Creator",2022-05-06 11:12,199500,"Come On, Let's Go (with Nigo)",6f44p3Kc4ayD9VtbC9Clkr
88,Cordae,2022-05-06 11:15,182068,Today (feat. Gunna),7z3rc7SCgjbAztt1cbXkVj
89,Lil Skies,2022-05-06 11:16,1741,Nowadays (feat. Landon Cube),2u7mxWSeoqTXndK5e08jMp
90,Tinie Tempah,2022-05-06 11:16,13974,Written in the Stars (feat. Eric Turner),61HQWI1Woxup7CnGwVUsdI
91,Polo G,2022-05-06 11:19,190509,Black Hearted,25qk9xa71F1POdI4vj7rbi
92,Lil Uzi Vert,2022-05-06 11:22,199993,Erase Your Social,4uhvMW7ly7tJil31YYscAN
93,A$AP Rocky,2022-05-06 11:27,137656,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",2N3U8uTYhjX2KwGT0pf5x0
94,Metro Boomin,2022-05-06 11:37,226320,10AM/Save The World (feat. Gucci Mane),00KjOnN3U40e3lXFUOue7h
95,Metro Boomin,2022-05-06 11:37,39432,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
96,Metro Boomin,2022-05-06 12:55,126413,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
97,Metro Boomin,2022-05-06 12:58,144470,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom
98,Ellie Goulding,2022-05-06 12:58,650,Lights,11ozIUBoXAgRTVWelDn4pL
99,Shakira,2022-05-06 13:02,218093,Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V
100,The Vamps,2022-05-06 13:05,182826,Somebody To You,2BWWsCwuHAZFE1scLyP6Qe
101,Miley Cyrus,2022-05-06 13:09,236066,The Climb,0V8FYVlBFuXXTIvRnMbZyS
102,John Travolta,2022-05-06 13:12,168640,You're The One That I Want - From “Grease”,0B9x2BRHqj3Qer7biM3pU3
103,Justin Bieber,2022-05-06 13:15,208120,Company,61uyGDPJ06MkxJtHgPmuyO
104,Olly Murs,2022-05-06 13:18,185586,Troublemaker (feat. Flo Rida),6s8nHXTJVqFjXE4yVZPDHR
105,Jason Derulo,2022-05-06 13:21,199026,In My Head,5BoIP8Eha5hwmRVURkC2Us
