,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key
402,402,402,402,5p7GiBZNL1afJJDUrOA6C8,0.462,0.113,157.655,0.13,0.343,0.00218,0.69,245640,-8.054,0.325,1,8
403,403,403,403,4QwLwqDbnxV0Tx5wXXoR9F,0.781,0.159,140.082,0.0617,0.0354,0.0,0.815,171427,-6.089,0.962,1,1
404,404,404,404,3iVcZ5G6tvkXZkZKlMpIUs,0.766,0.0827,110.034,0.238,0.0742,0.0,0.796,219333,-5.974,0.558,1,7
405,405,405,405,03MWa1FMygR3RrQoQytsjS,0.691,0.366,134.751,0.0338,0.546,1.3e-06,0.706,259040,-5.86,0.597,0,9
406,406,406,406,11JTr0nLk71hnXfAADISkS,0.79,0.159,188.129,0.439,0.232,0.0,0.401,200720,-8.083,0.605,0,10
407,407,407,407,0Thqjtu54vKMP06pwZkAWp,0.4,0.331,128.073,0.26,0.322,1.32e-05,0.889,301064,-10.586,0.336,0,4
408,408,408,408,5VnpYqIzm02X9gOhVElQo3,0.772,0.242,123.009,0.267,0.194,1.54e-06,0.732,230920,-6.142,0.493,0,2
409,409,409,409,0NFCFdJxEGCGO6EGkFCGgF,0.738,0.0848,120.548,0.0817,0.37,0.0,0.781,227080,-3.611,0.539,0,0
410,410,410,410,23dwrzeJtEEGl2U4CPWSor,0.975,0.145,123.906,0.454,0.17,0.0,0.545,131674,-3.193,0.609,0,10
411,411,411,411,5iSEsR6NKjlC9SrIJkyL3k,0.605,0.298,115.277,0.0414,0.484,9.29e-05,0.63,295293,-8.951,0.266,1,0
412,412,412,412,2T5O5rE0vVBeb3IxCTxzND,0.652,0.205,84.84,0.202,0.0758,0.0,0.621,204160,-5.944,0.236,0,6
413,413,413,413,1jzIJcHCXneHw7ojC6LXiF,0.612,0.213,168.197,0.424,0.308,0.0,0.538,182493,-6.02,0.684,1,2
414,414,414,414,0BFGDkrXAneskCJdudSCro,0.532,0.0806,84.983,0.265,0.0292,8.86e-06,0.736,165773,-7.151,0.273,1,1
415,415,415,415,0VXfZi7XhfJnuBvF6XiypU,0.693,0.142,129.929,0.247,0.159,0.0261,0.496,210673,-9.576,0.597,0,5
416,416,416,416,1jQsKN68yE94tMYml0wHMd,0.704,0.131,136.936,0.0986,0.136,0.0,0.747,213693,-6.743,0.494,1,1
417,417,417,417,4WfjYOo0JxommRm1PyObJl,0.446,0.16,95.518,0.424,0.449,0.0,0.87,251309,-9.818,0.684,1,1
418,418,418,418,0p0fmKwHHE5SVj5CZoSk8A,0.492,0.105,104.061,0.294,0.682,0.0,0.753,259227,-9.789,0.457,0,5
419,419,419,419,1MnJ5vOM6V5S2l8VN7LjbT,0.745,0.371,126.547,0.487,0.106,0.0,0.826,128571,-8.758,0.539,1,11
420,420,420,420,1J03Vp93ybKIxfzYI4YJtL,0.632,0.0362,119.987,0.0602,0.000377,0.855,0.719,156000,-9.849,0.934,1,7
421,421,421,421,3MBPyL1MbHmC8eKYR1dTUQ,0.719,0.114,126.987,0.0302,0.255,0.00267,0.703,199320,-6.442,0.453,0,1
